"weight";"lat";"lon"
2;45.5141877;-122.8538739
5;45.51974999999999;-122.8435533
2;45.5252565;-122.8401813
2;45.5170109;-122.779741
3.5;45.5322502;-122.8224927
3;45.53437;-122.807696
3;45.5306185;-122.8307246
2;45.5471549;-122.800513
9.5;45.521403;-122.796869
6;45.4897709;-122.859282
5;45.4956055;-122.8329492
1;45.5345819;-122.8577389
5;44.579902;-123.272858
2;44.579998;-123.272816
5;44.579998;-123.272816
2;44.579998;-123.272816
